Day,Away,Home,RA,RH,Inn
3,80,LAD,SDP,5,2,9
4,81,SDP,LAD,15,11,9
4,88,BOS,SEA,6,4,9
4,88,NYY,HOU,5,4,9
4,88,CLE,OAK,8,0,9
4,88,LAA,BAL,3,11,9
4,88,CHC,TEX,3,4,10
4,88,DET,CHW,1,0,9
4,88,MIN,KCR,4,1,9
4,88,TOR,TBR,8,2,9
4,88,COL,ARI,1,16,9
4,88,STL,LAD,1,7,9
4,88,SFG,SDP,4,6,9
4,88,WSN,CIN,2,8,9
4,88,PIT,MIA,6,5,12
5,89,BOS,SEA,0,1,9
5,89,NYY,HOU,7,1,9
5,89,CLE,OAK,6,4,9
5,89,TOR,TBR,2,8,9
5,89,COL,ARI,3,7,9
5,89,STL,LAD,3,6,9
5,89,SFG,SDP,8,3,9
5,89,MIL,NYM,3,1,9
5,89,PIT,MIA,7,2,9
5,89,ATL,PHI,9,3,9
6,90,BOS,SEA,3,4,10
6,90,NYY,HOU,5,3,9
6,90,CLE,OAK,12,3,9
6,90,LAA,BAL,4,13,9
6,90,CHC,TEX,2,11,9
6,90,DET,CHW,7,6,10
6,90,MIN,KCR,5,1,9
6,90,TOR,TBR,1,5,9
6,90,COL,ARI,9,4,9
6,90,STL,LAD,6,5,10
6,90,SFG,SDP,9,6,9
6,90,WSN,CIN,7,6,9
6,90,MIL,NYM,7,6,9
6,90,PIT,MIA,9,3,9
6,90,ATL,PHI,12,4,9
0,91,BOS,SEA,5,1,9
0,91,NYY,HOU,4,3,9
0,91,CLE,OAK,3,4,9
0,91,LAA,BAL,4,1,9
0,91,CHC,TEX,9,5,9
0,91,DET,CHW,3,2,9
0,91,MIN,KCR,0,11,9
0,91,TOR,TBR,9,2,9
0,91,COL,ARI,1,5,9
0,91,STL,LAD,4,5,9
0,91,SFG,SDP,4,13,9
0,91,WSN,CIN,5,6,9
0,91,MIL,NYM,4,1,9
0,91,PIT,MIA,9,7,10
0,91,ATL,PHI,4,5,9
1,92,CLE,SEA,4,5,9
1,92,TOR,HOU,0,10,9
1,92,BOS,OAK,9,0,9
1,92,LAA,MIA,7,4,9
1,92,TEX,TBR,9,3,9
1,92,ATL,CHW,9,0,8
1,92,DET,NYM,5,0,10
1,92,KCR,BAL,4,6,9
1,92,NYY,ARI,5,2,9
1,92,COL,CHC,0,5,9
1,92,SFG,LAD,3,8,9
1,92,STL,SDP,6,2,9
1,92,CIN,PHI,6,3,10
1,92,PIT,WSN,8,4,9
2,93,CLE,SEA,5,2,9
2,93,TOR,HOU,2,1,9
2,93,BOS,OAK,5,4,11
2,93,LAA,MIA,3,1,9
2,93,TEX,TBR,2,5,9
2,93,ATL,CHW,2,3,9
2,93,KCR,BAL,4,1,9
2,93,MIN,MIL,2,3,9
2,93,NYY,ARI,0,7,9
2,93,COL,CHC,2,12,9
2,93,SFG,LAD,4,5,9
2,93,STL,SDP,5,2,9
2,93,CIN,PHI,4,9,9
3,94,CLE,SEA,8,0,9
3,94,TOR,HOU,0,8,9
3,94,BOS,OAK,1,0,9
3,94,LAA,MIA,10,2,9
3,94,TEX,TBR,4,1,9
3,94,KCR,BAL,3,4,9
3,94,MIN,MIL,7,3,9
3,94,NYY,ARI,6,5,11
3,94,COL,CHC,8,9,9
3,94,SFG,LAD,4,5,9
3,94,STL,SDP,2,3,9
3,94,CIN,PHI,4,1,9
3,94,PIT,WSN,3,5,9
4,95,CHW,KCR,1,10,9
4,95,CLE,MIN,4,2,9
4,95,DET,NYM,6,3,11
4,95,DET,NYM,1,2,9
4,95,PIT,WSN,7,4,9
4,95,MIA,STL,5,8,9
5,96,SEA,MIL,5,6,9
5,96,HOU,TEX,2,10,9
5,96,OAK,DET,4,5,9
5,96,BOS,LAA,8,6,9
5,96,CHW,KCR,1,2,9
5,96,BAL,PIT,5,2,9
5,96,TOR,NYY,3,0,9
5,96,TBR,COL,7,10,9
5,96,ARI,ATL,5,6,10
5,96,LAD,CHC,7,9,9
5,96,SDP,SFG,2,3,9
5,96,NYM,CIN,3,2,9
5,96,PHI,WSN,4,0,9
6,97,SEA,MIL,5,3,9
6,97,HOU,TEX,2,7,9
6,97,OAK,DET,4,0,9
6,97,BOS,LAA,1,2,9
6,97,CHW,KCR,0,3,9
6,97,CLE,MIN,3,1,9
6,97,BAL,PIT,4,5,11
6,97,TOR,NYY,8,9,9
6,97,TBR,COL,8,6,9
6,97,ARI,ATL,8,9,9
6,97,LAD,CHC,4,1,9
6,97,SDP,SFG,4,0,9
6,97,NYM,CIN,6,9,9
6,97,MIA,STL,1,3,9
6,97,PHI,WSN,5,2,9
0,98,SEA,MIL,4,12,9
0,98,HOU,TEX,3,1,9
0,98,OAK,DET,7,1,9
0,98,BOS,LAA,12,2,9
0,98,CHW,KCR,3,5,9
0,98,BAL,PIT,2,3,9
0,98,TOR,NYY,3,8,9
0,98,TBR,COL,3,2,9
0,98,ARI,ATL,2,5,9
0,98,LAD,CHC,1,8,9
0,98,SDP,SFG,2,3,9
0,98,NYM,CIN,3,1,9
0,98,MIA,STL,10,3,9
0,98,PHI,WSN,2,3,9
1,99,SEA,TOR,2,5,9
1,99,HOU,TEX,10,5,9
1,99,TBR,LAA,1,7,9
