Day,Away,Home,RA,RH,Inn
4,105,TEX,TBR,6,4,10
4,105,CLE,CHW,4,2,9
4,105,TOR,KCR,5,7,9
4,105,BOS,MIN,3,4,9
4,105,ARI,WSN,11,6,9
4,105,COL,LAD,5,7,9
4,105,SDP,PIT,8,3,9
4,105,MIA,ATL,6,7,9
5,106,HOU,SEA,5,6,9
5,106,DET,OAK,0,3,9
5,106,MIN,LAA,3,10,9
5,106,BAL,TEX,5,2,9
5,106,CLE,CIN,3,10,9
5,106,TBR,NYY,8,2,9
5,106,ARI,WSN,0,1,9
5,106,LAD,SDP,11,6,12
5,106,SFG,MIA,1,4,9
5,106,ATL,CHC,5,2,9
5,106,PIT,MIL,6,1,9
5,106,STL,PHI,2,9,9
6,107,HOU,SEA,1,0,9
6,107,DET,OAK,0,7,9
6,107,BAL,TEX,6,1,9
6,107,CHW,BOS,4,7,9
6,107,CLE,CIN,2,3,10
6,107,TOR,KCR,5,1,7
6,107,TOR,KCR,2,3,7
6,107,TBR,NYY,6,3,9
6,107,ARI,WSN,2,6,9
6,107,NYM,COL,4,3,7
6,107,NYM,COL,2,7,7
6,107,LAD,SDP,2,0,9
6,107,SFG,MIA,6,7,10
6,107,ATL,CHC,4,13,9
6,107,PIT,MIL,1,7,9
6,107,STL,PHI,9,4,9
0,108,HOU,SEA,2,7,9
0,108,DET,OAK,2,3,9
0,108,BAL,TEX,0,1,10
0,108,CHW,BOS,3,2,7
0,108,CHW,BOS,5,1,7
0,108,CLE,CIN,6,3,9
0,108,TOR,KCR,0,2,9
0,108,TBR,NYY,4,2,9
0,108,ARI,WSN,5,2,9
0,108,NYM,COL,2,1,9
0,108,LAD,SDP,2,5,9
0,108,SFG,MIA,1,0,9
0,108,ATL,CHC,13,4,9
0,108,PIT,MIL,6,5,10
0,108,STL,PHI,0,2,9
1,109,LAD,SEA,3,4,9
1,109,TEX,LAA,6,4,9
1,109,CHW,BOS,4,11,9
1,109,TBR,KCR,4,1,9
1,109,MIL,SDP,3,1,9
