Day,Away,Home,RA,RH,Inn
4,97,HOU,LAA,3,1,9
4,97,CLE,KCR,1,3,9
4,97,SDP,ARI,2,4,9
4,97,MIL,CHC,4,5,9
4,97,CIN,ATL,6,3,9
4,97,PIT,STL,0,9,9
4,97,NYM,WSN,5,1,9
5,98,SEA,MIN,2,1,9
5,98,HOU,LAA,13,6,9
5,98,OAK,PHI,5,9,9
5,98,TEX,TOR,8,10,9
5,98,CHW,DET,4,5,9
5,98,BAL,TBR,1,2,9
5,98,BOS,NYY,5,6,11
5,98,SDP,ARI,3,0,9
5,98,LAD,COL,5,3,9
5,98,MIA,SFG,5,6,10
5,98,CIN,ATL,6,7,9
5,98,NYM,WSN,7,3,9
6,99,SEA,MIN,4,3,9
6,99,HOU,LAA,0,2,9
6,99,OAK,PHI,2,4,9
6,99,TEX,TOR,3,4,9
6,99,CHW,DET,5,2,9
6,99,CLE,KCR,0,1,10
6,99,BAL,TBR,3,5,9
6,99,BOS,NYY,2,4,9
6,99,SDP,ARI,5,2,9
6,99,LAD,COL,2,3,9
6,99,MIA,SFG,2,1,9
6,99,MIL,CHC,0,9,9
6,99,CIN,ATL,1,2,9
6,99,PIT,STL,2,6,9
6,99,NYM,WSN,5,0,9
0,100,SEA,MIN,4,10,9
0,100,HOU,LAA,4,1,9
0,100,OAK,PHI,4,1,9
0,100,TEX,TOR,12,6,9
0,100,CHW,DET,10,1,9
0,100,CLE,KCR,17,3,9
0,100,BAL,TBR,0,8,9
0,100,BOS,NYY,4,3,9
0,100,SDP,ARI,10,5,9
0,100,LAD,COL,4,9,9
0,100,MIA,SFG,2,3,9
0,100,MIL,CHC,5,4,9
0,100,CIN,ATL,6,3,9
0,100,PIT,STL,9,4,9
0,100,NYM,WSN,2,4,9
1,101,SEA,MIN,0,4,9
1,101,OAK,TBR,13,2,9
1,101,MIA,LAA,2,6,9
1,101,COL,TEX,6,4,10
1,101,CLE,KCR,10,7,9
1,101,BOS,DET,1,3,9
1,101,MIL,BAL,0,2,9
1,101,TOR,NYY,3,0,9
1,101,SDP,SFG,4,2,9
1,101,WSN,ATL,11,2,9
1,101,NYM,PHI,4,5,9
2,102,SEA,CHW,2,3,9
2,102,HOU,ARI,2,1,9
2,102,OAK,TBR,8,9,10
2,102,MIA,LAA,3,4,9
2,102,COL,TEX,4,1,9
2,102,CLE,CIN,10,5,9
2,102,BOS,DET,5,3,9
2,102,KCR,STL,5,6,9
2,102,LAD,MIN,7,2,9
2,102,MIL,BAL,5,4,9
2,102,TOR,NYY,0,4,9
2,102,SDP,SFG,2,13,9
2,102,CHC,PIT,2,1,9
2,102,WSN,ATL,4,16,9
2,102,NYM,PHI,2,0,9
3,103,SEA,CHW,4,6,9
3,103,HOU,ARI,2,3,10
3,103,OAK,TBR,4,2,9
3,103,CLE,CIN,7,3,9
3,103,BOS,DET,9,7,9
3,103,LAD,MIN,7,0,9
3,103,MIL,BAL,4,2,9
3,103,TOR,NYY,6,4,9
3,103,SDP,SFG,1,2,9
3,103,CHC,PIT,2,6,9
3,103,WSN,ATL,3,1,9
3,103,NYM,PHI,9,6,9
4,104,SEA,CHW,5,1,9
4,104,OAK,TBR,6,3,9
4,104,LAA,TEX,5,10,9
4,104,DET,KCR,4,2,9
4,104,TOR,NYY,0,3,9
4,104,CHC,COL,5,2,9
4,104,CIN,LAD,3,9,9
4,104,ATL,SDP,1,12,9
4,104,STL,MIL,1,5,9
4,104,WSN,PIT,4,9,9
4,104,PHI,MIA,3,4,9
5,105,HOU,SEA,1,11,9
5,105,OAK,TOR,1,4,9
5,105,LAA,TEX,9,6,9
5,105,TBR,CHW,2,3,9
5,105,SFG,CLE,4,1,9
5,105,DET,KCR,2,1,9
5,105,MIN,BOS,8,4,9
5,105,NYY,BAL,1,2,11
5,105,ARI,NYM,3,10,9
5,105,CHC,COL,5,6,9
5,105,CIN,LAD,1,3,9
5,105,ATL,SDP,5,2,9
5,105,STL,MIL,10,1,9
5,105,WSN,PIT,7,2,9
5,105,PHI,MIA,1,7,9
6,106,HOU,SEA,4,0,9
6,106,OAK,TOR,7,5,9
6,106,LAA,TEX,7,2,9
6,106,TBR,CHW,2,3,9
6,106,SFG,CLE,4,2,9
6,106,DET,KCR,1,3,9
6,106,MIN,BOS,0,4,9
6,106,NYY,BAL,5,2,9
6,106,ARI,NYM,3,2,9
6,106,CHC,COL,6,9,9
6,106,CIN,LAD,2,5,9
6,106,ATL,SDP,5,2,9
6,106,STL,MIL,2,1,9
6,106,WSN,PIT,4,6,9
6,106,PHI,MIA,10,3,9
0,107,HOU,SEA,2,7,9
0,107,OAK,TOR,3,4,9
0,107,LAA,TEX,8,3,9
0,107,TBR,CHW,9,3,9
0,107,SFG,CLE,8,1,9
0,107,MIN,BOS,1,8,9
0,107,NYY,BAL,0,5,9
0,107,ARI,NYM,0,5,9
0,107,CHC,COL,6,4,9
0,107,CIN,LAD,1,9,9
0,107,ATL,SDP,1,2,9
0,107,STL,MIL,5,6,9
0,107,WSN,PIT,3,5,9
0,107,PHI,MIA,3,11,9
1,108,LAA,HOU,3,8,9
1,108,BAL,OAK,1,5,9
1,108,MIN,BOS,8,3,9
1,108,TBR,CHC,2,4,9
1,108,PHI,COL,1,4,9
1,108,ATL,LAD,4,7,9
1,108,CIN,SDP,1,4,9
1,108,PIT,MIL,1,6,9
2,109,TEX,SEA,2,6,9
