Date,Away,Home,RA,RH
6/15,MIN,TEX,4,2
6/15,DET,HOU,9,3
6/15,LAA,ARI,3,4
6/15,PIT,ATH,2,11
6/15,TBR,LAD,3,4
6/16,MIA,PHI,2,8
6/16,KCR,WSN,4,6
6/16,TOR,BOS,6,1
6/16,CHW,NYY,2,12
6/16,NYM,CIN,3,5
6/16,SFG,ATL,7,2
6/16,CLE,MIL,1,2
6/16,SDP,STL,2,3
6/16,COL,CHC,5,2
6/16,MIN,TEX,12,2
6/16,DET,HOU,2,4
6/16,LAA,ARI,7,0
6/16,PIT,ATH,6,5
6/16,BAL,SEA,1,3
6/16,TBR,LAD,0,1
6/17,NYM,CIN,9,1
6/17,KCR,WSN,6,2
6/17,MIA,PHI,12,4
6/17,SFG,ATL,7,2
6/17,DET,HOU,2,4
6/17,SDP,STL,6,1
6/17,TBR,LAD,4,5
6/17,LAA,ARI,1,8
6/17,TOR,BOS,3,0
6/17,CHW,NYY,5,10
6/17,SFG,ATL,7,5
6/17,CLE,MIL,4,9
6/17,COL,CHC,6,8
6/17,PIT,ATH,12,4
6/17,BAL,SEA,5,3
6/18,TOR,BOS,4,3
6/18,CLE,MIL,4,2
6/18,MIN,TEX,9,3
6/18,BAL,SEA,0,3
6/18,NYM,PHI,6,4
6/18,CHW,NYY,5,1
6/18,STL,KCR,6,14
6/18,LAA,ATH,0,5
6/19,TOR,CHC,2,16
6/19,CHW,DET,3,4
6/19,CIN,NYY,0,5
6/19,WSN,TBR,2,5
6/19,SFG,MIA,3,4
6/19,MIL,ATL,2,3
6/19,SDP,TEX,7,9
6/19,CLE,HOU,3,9
6/19,STL,KCR,5,6
6/19,PIT,COL,3,4
6/19,LAA,ATH,11,12
6/19,MIN,ARI,5,9
6/19,BAL,LAD,5,6
6/19,BOS,SEA,6,2
6/20,CHW,DET,1,4
6/20,CIN,NYY,10,2
6/20,TOR,CHC,8,6
6/20,SDP,TEX,6,4
6/20,WSN,TBR,4,3
6/20,SFG,MIA,3,6
6/20,MIL,ATL,3,4
6/20,CLE,HOU,8,1
6/20,NYM,PHI,3,15
6/20,PIT,COL,1,2
6/20,LAA,ATH,7,0
6/20,BAL,LAD,3,2
6/20,BOS,SEA,5,1
6/20,MIN,ARI,16,8
6/21,CIN,NYY,4,1
6/21,MIL,ATL,9,4
6/21,WSN,TBR,3,4
6/21,CHW,DET,4,5
6/21,SFG,MIA,1,2
6/21,CLE,HOU,1,2
6/21,STL,KCR,12,10
6/21,SDP,TEX,3,4
6/21,PIT,COL,8,6
6/21,MIN,ARI,4,2
6/21,LAA,ATH,9,7
6/21,BAL,LAD,12,1
6/21,BOS,SEA,1,3
6/21,NYM,PHI,2,6
6/22,NYY,DET,3,5
6/22,KCR,TBR,2,1
6/22,TEX,MIA,4,3
6/22,PHI,WSN,1,4
6/22,HOU,TOR,2,4
6/22,MIL,CIN,2,1
6/22,LAD,MIN,2,1
6/22,CLE,CHW,5,6
6/22,ARI,STL,2,3
6/22,BOS,COL,2,3
6/22,BAL,LAA,6,1
6/22,ATL,SDP,0,1
6/23,HOU,TOR,9,7
6/23,SEA,PIT,3,2
6/23,KCR,TBR,12,5
6/23,TEX,MIA,4,6
6/23,NYY,DET,4,3
6/23,PHI,WSN,14,9
6/23,CHC,NYM,9,6
6/23,MIL,CIN,2,0
6/23,LAD,MIN,12,3
6/23,CLE,CHW,1,2
6/23,ARI,STL,4,3
6/23,BOS,COL,5,2
6/23,BAL,LAA,1,5
6/23,ATL,SDP,6,7
6/23,ATH,SFG,1,3
6/24,TEX,MIA,2,4
6/24,CHC,NYM,10,3
6/24,CHC,NYM,10,5
6/24,CLE,CHW,4,3
6/24,BOS,COL,6,8
6/24,BAL,LAA,6,7
6/24,SEA,PIT,1,11
6/24,KCR,TBR,3,5
6/24,NYY,DET,4,2
6/24,PHI,WSN,5,4
6/24,HOU,TOR,3,1
6/24,MIL,CIN,6,5
6/24,LAD,MIN,4,3
6/24,ARI,STL,9,4
6/24,ATL,SDP,2,5
6/24,ATH,SFG,1,2
6/25,KCR,TBR,2,13
6/25,SEA,PIT,1,5
6/25,ATH,SFG,9,6
6/25,HOU,DET,2,1
6/25,PHI,WSN,10,5
6/25,TEX,TOR,6,5
6/25,CHC,NYM,4,3
6/25,NYY,BOS,3,6
6/26,HOU,DET,0,8
6/26,CIN,PIT,6,4
6/26,WSN,BAL,1,3
6/26,TEX,TOR,5,4
6/26,SEA,CLE,3,1
6/26,ARI,TBR,1,6
6/26,PHI,NYM,2,1
6/26,NYY,BOS,1,6
6/26,KCR,CHW,1,22
6/26,CHC,MIL,2,6
6/26,COL,MIN,8,9
6/26,MIA,STL,4,0
6/26,ATH,LAA,9,3
6/26,LAD,SDP,1,7
6/26,ATL,SFG,3,1
6/27,HOU,DET,8,6
6/27,NYY,BOS,1,4
6/27,TEX,TOR,7,4
6/27,CIN,PIT,9,7
6/27,PHI,NYM,2,6
6/27,KCR,CHW,1,2
6/27,ARI,TBR,2,4
6/27,WSN,BAL,4,3
6/27,SEA,CLE,3,4
6/27,COL,MIN,8,5
6/27,CHC,MIL,8,2
6/27,MIA,STL,5,1
6/27,LAD,SDP,15,3
6/27,ATL,SFG,0,5
6/27,ATH,LAA,2,5
6/28,WSN,BAL,6,4
6/28,CIN,PIT,4,9
6/28,TEX,TOR,3,2
6/28,HOU,DET,7,5
6/28,SEA,CLE,5,6
6/28,ARI,TBR,1,5
6/28,PHI,NYM,5,4
6/28,COL,MIN,2,3
6/28,KCR,CHW,5,4
6/28,CHC,MIL,4,3
6/28,MIA,STL,1,2
6/28,ATH,LAA,1,4
6/28,ATL,SFG,2,3
6/28,LAD,SDP,4,2
6/28,NYY,BOS,4,5
6/29,CHW,BAL,8,2
6/29,PIT,PHI,11,7
6/29,DET,NYY,7,3
6/29,NYM,TOR,1,2
6/29,WSN,BOS,3,6
6/29,TEX,CLE,6,3
6/29,CIN,MIL,3,5
6/29,SDP,CHC,2,3
6/29,MIN,HOU,5,4
6/29,MIA,COL,10,7
6/29,LAD,ATH,9,4
6/29,LAA,SEA,2,6
6/29,SFG,ARI,4,5
6/30,CHW,BAL,9,3
6/30,TEX,CLE,4,2
6/30,PIT,PHI,0,8
6/30,DET,NYY,9,3
6/30,NYM,TOR,3,0
6/30,WSN,BOS,8,1
6/30,STL,ATL,5,3
6/30,TBR,KCR,10,4
6/30,CIN,MIL,2,7
6/30,SDP,CHC,7,9
6/30,MIN,HOU,4,6
6/30,MIA,COL,14,3
6/30,LAD,ATH,9,3
6/30,LAA,SEA,3,8
6/30,SFG,ARI,2,8
7/1,CHW,BAL,1,6
7/1,TEX,CLE,4,9
7/1,WSN,BOS,10,2
7/1,DET,NYY,6,2
7/1,SDP,CHC,3,23
7/1,NYM,TOR,3,9
7/1,PIT,PHI,6,10
7/1,STL,ATL,1,5
7/1,TBR,KCR,4,0
7/1,MIN,HOU,8,3
7/1,CIN,MIL,2,4
7/1,MIA,COL,3,6
7/1,LAD,ATH,1,7
7/1,SFG,ARI,6,4
7/2,PIT,PHI,6,1
7/2,CIN,MIL,7,2
7/2,MIA,COL,4,14
7/2,CHW,CLE,5,6
7/2,STL,ATL,11,5
7/2,TBR,KCR,5,2
7/2,DET,TEX,4,10
7/2,LAA,SEA,0,1
7/2,SDP,LAD,7,12
7/3,STL,CHC,17,1
7/3,PIT,WSN,5,9
7/3,MIN,NYY,2,5
7/3,BAL,CIN,3,0
7/3,CHW,CLE,3,4
7/3,NYM,ATL,3,5
7/3,SFG,COL,3,15
7/3,TBR,HOU,3,1
7/3,BOS,LAA,5,2
7/3,MIA,ATH,12,5
7/3,MIL,ARI,7,4
7/3,SDP,LAD,3,4
7/3,TOR,SEA,2,0
7/4,PIT,WSN,7,1
7/4,MIN,NYY,11,4
7/4,DET,TEX,3,0
7/4,TOR,SEA,0,11
7/4,BAL,CIN,8,5
7/4,TBR,HOU,8,10
7/4,CHW,CLE,3,1
7/4,STL,CHC,3,0
7/4,NYM,ATL,3,14
7/4,SFG,COL,6,4
7/4,PHI,KCR,6,1
7/4,BOS,LAA,8,1
7/4,MIA,ATH,7,2
7/4,MIL,ARI,3,4
7/4,SDP,LAD,0,3
7/5,NYM,ATL,10,9
7/5,PIT,WSN,11,5
7/5,BAL,CIN,2,3
7/5,MIN,NYY,6,1
7/5,CHW,CLE,7,6
7/5,STL,CHC,4,6
7/5,PHI,KCR,2,5
7/5,TBR,HOU,0,2
7/5,DET,TEX,6,3
7/5,SFG,COL,6,7
7/5,MIL,ARI,3,2
7/5,MIA,ATH,9,8
7/5,TOR,SEA,0,4
7/5,SDP,LAD,5,2
7/5,BOS,LAA,7,5
7/6,PHI,KCR,1,15
7/6,NYY,TBR,5,1
7/6,HOU,WSN,11,12
7/6,NYM,ATL,7,6
7/6,MIL,STL,4,3
7/6,ARI,SDP,8,0
7/6,TOR,SFG,1,10
7/6,COL,LAD,7,8
7/7,MIL,STL,4,3
7/7,MIL,STL,10,2
7/7,CHC,BAL,5,2
7/7,ATH,DET,2,6
7/7,ATL,PIT,4,12
7/7,SEA,MIA,5,6
7/7,NYY,TBR,4,6
7/7,HOU,WSN,6,3
7/7,KCR,NYM,16,12
7/7,PHI,CIN,4,1
7/7,CLE,MIN,1,3
7/7,BOS,CHW,8,1
7/7,LAA,TEX,3,8
7/7,ARI,SDP,1,4
7/7,TOR,SFG,9,3
7/7,COL,LAD,4,3
7/8,TOR,SFG,10,0
7/8,CHC,BAL,9,7
7/8,ATH,DET,1,6
7/8,ATL,PIT,3,0
7/8,SEA,MIA,0,2
7/8,NYY,TBR,0,3
7/8,HOU,WSN,2,8
7/8,KCR,NYM,2,6
7/8,PHI,CIN,5,11
7/8,CLE,MIN,5,6
7/8,BOS,CHW,5,0
7/8,MIL,STL,1,5
7/8,LAA,TEX,13,1
7/8,COL,LAD,3,4
7/8,ARI,SDP,4,10
7/9,ATL,PIT,10,5
7/9,KCR,NYM,3,7
7/9,NYY,TBR,12,4
7/9,CHC,BAL,2,3
7/9,CLE,MIN,5,2
7/9,BOS,CHW,2,1
7/9,ATH,DET,1,4
7/9,SEA,MIA,4,8
7/9,PHI,CIN,1,0
7/9,MIL,STL,8,4
7/9,LAA,TEX,6,7
7/9,ARI,SDP,3,1
7/9,COL,SFG,2,8
7/10,PHI,DET,2,10
7/10,NYY,WSN,5,3
7/10,KCR,BAL,3,5
7/10,CHC,CIN,0,4
7/10,SEA,TBR,2,7
7/10,CLE,MIA,3,2
7/10,BOS,NYM,6,2
7/10,ATH,CHW,1,14
7/10,HOU,TEX,3,7
7/10,LAA,MIN,4,3
7/10,ATL,STL,1,2
7/10,TOR,SDP,5,3
7/10,ARI,LAD,9,3
7/10,COL,SFG,4,3
7/11,MIL,PIT,6,7
7/11,MIL,PIT,2,3
7/11,LAA,MIN,3,5
7/11,ATH,CHW,0,1
7/11,COL,SFG,2,4
7/11,NYY,WSN,4,2
7/11,BOS,NYM,4,0
7/11,SEA,TBR,1,6
7/11,CLE,MIA,4,1
7/11,PHI,DET,4,2
7/11,KCR,BAL,1,6
7/11,HOU,TEX,9,3
7/11,CHC,CIN,5,3
7/11,ATL,STL,1,4
7/11,TOR,SDP,7,8
7/11,ARI,LAD,9,2
7/12,MIL,PIT,5,14
7/12,KCR,BAL,2,8
7/12,NYY,WSN,5,3
7/12,CHC,CIN,8,4
7/12,BOS,NYM,3,2
7/12,SEA,TBR,8,2
7/12,PHI,DET,5,0
7/12,CLE,MIA,5,2
7/12,LAA,MIN,2,4
7/12,ATH,CHW,1,9
7/12,ATL,STL,4,3
7/12,HOU,TEX,5,6
7/12,COL,SFG,1,3
7/12,ARI,LAD,5,3
7/12,TOR,SDP,4,5
7/16,NYM,PHI,4,1
7/17,TBR,BOS,0,10
7/17,TBR,BOS,3,5
7/17,LAD,NYY,2,1
7/17,TEX,ATL,1,15
7/17,CHW,TOR,12,4
7/17,MIA,MIL,1,2
7/17,MIN,CHC,5,2
7/17,BAL,HOU,3,2
7/17,SDP,KCR,6,7
7/17,CIN,COL,7,2
7/17,DET,LAA,2,1
7/17,WSN,ATH,23,4
7/17,STL,ARI,5,4
7/17,SFG,SEA,7,0
7/18,PIT,CLE,7,1
7/18,PIT,CLE,3,5
7/18,MIN,CHC,2,6
7/18,NYM,PHI,1,6
7/18,CHW,TOR,0,1
7/18,CIN,COL,3,10
7/18,BAL,HOU,4,2
7/18,SDP,KCR,1,6
7/18,STL,ARI,3,5
7/18,TBR,BOS,6,7
7/18,TEX,ATL,7,6
7/18,MIA,MIL,6,8
7/18,SFG,SEA,3,4
7/18,WSN,ATH,1,15
7/18,DET,LAA,7,0
7/19,CHW,TOR,3,0
7/19,LAD,NYY,8,2
7/19,LAD,NYY,1,2
7/19,TBR,BOS,1,6
7/19,NYM,PHI,6,1
7/19,TEX,ATL,5,8
7/19,PIT,CLE,7,1
7/19,BAL,HOU,5,2
7/19,SDP,KCR,19,2
7/19,MIA,MIL,1,3
7/19,MIN,CHC,1,10
7/19,CIN,COL,9,6
7/19,WSN,ATH,5,2
7/19,DET,LAA,2,3
7/19,SFG,SEA,3,6
7/19,STL,ARI,7,8
7/20,MIN,CLE,4,13
7/20,PIT,NYY,5,8
7/20,TBR,TOR,7,1
7/20,BAL,BOS,5,6
7/20,LAD,PHI,7,10
7/20,SDP,ATL,2,3
7/20,SFG,KCR,3,4
7/20,NYM,MIL,3,8
7/20,DET,CHC,8,6
7/20,CHW,TEX,10,3
7/20,MIA,HOU,5,8
7/20,WSN,COL,7,3
7/20,ATH,ARI,5,2
7/20,CIN,SEA,0,8
7/20,STL,LAA,2,3
7/21,MIN,CLE,2,5
7/21,LAD,PHI,2,1
7/21,TBR,TOR,12,2
7/21,SDP,ATL,8,3
7/21,SFG,KCR,2,3
7/21,NYM,MIL,4,0
7/21,DET,CHC,2,11
7/21,CHW,TEX,0,10
7/21,MIA,HOU,3,5
7/21,WSN,COL,7,8
7/21,STL,LAA,1,5
7/21,ATH,ARI,5,6
7/21,CIN,SEA,4,2
7/22,PIT,NYY,5,3
7/22,PIT,NYY,0,2
7/22,BAL,BOS,3,6
7/22,BAL,BOS,5,1
7/22,SFG,KCR,4,5
7/22,NYM,MIL,3,4
7/22,WSN,COL,8,0
7/22,ATH,ARI,5,15
7/22,CIN,SEA,5,3
7/22,STL,LAA,1,0
7/22,MIN,CLE,10,6
7/22,LAD,PHI,9,5
7/22,TBR,TOR,4,2
7/22,SDP,ATL,6,7
7/22,CHW,TEX,4,2
7/22,DET,CHC,5,1
7/22,MIA,HOU,2,5
