0,Clemson,ACC (Atlantic)
1,Syracuse,ACC (Atlantic)
2,NC State,ACC (Atlantic)
3,Boston College,ACC (Atlantic)
4,Wake Forest,ACC (Atlantic)
5,Florida State,ACC (Atlantic)
6,Louisville,ACC (Atlantic)
7,Pitt,ACC (Coastal)
8,Georgia Tech,ACC (Coastal)
9,Virginia,ACC (Coastal)
10,Miami,ACC (Coastal)
11,Virginia Tech,ACC (Coastal)
12,Duke,ACC (Coastal)
13,North Carolina,ACC (Coastal)
14,UCF,American (East)
15,Temple,American (East)
16,Cincinnati,American (East)
17,South Florida,American (East)
18,East Carolina,American (East)
19,Connecticut,American (East)
20,Houston,American (West)
21,Memphis,American (West)
22,Tulane,American (West)
23,SMU,American (West)
24,Tulsa,American (West)
25,Navy,American (West)
26,Oklahoma,Big 12
27,Texas,Big 12
28,West Virginia,Big 12
29,Iowa State,Big 12
30,Baylor,Big 12
31,TCU,Big 12
32,Oklahoma State,Big 12
33,Kansas State,Big 12
34,Texas Tech,Big 12
35,Kansas,Big 12
36,Ohio State,Big Ten (East)
37,Michigan,Big Ten (East)
38,Penn State,Big Ten (East)
39,Michigan State,Big Ten (East)
40,Maryland,Big Ten (East)
41,Indiana,Big Ten (East)
42,Rutgers,Big Ten (East)
43,Northwestern,Big Ten (West)
44,Iowa,Big Ten (West)
45,Wisconsin,Big Ten (West)
46,Purdue,Big Ten (West)
47,Minnesota,Big Ten (West)
48,Nebraska,Big Ten (West)
49,Illinois,Big Ten (West)
50,Middle Tennessee,CUSA (East)
51,Florida Int'l,CUSA (East)
52,Marshall,CUSA (East)
53,Charlotte,CUSA (East)
54,Florida Atlantic,CUSA (East)
55,Old Dominion,CUSA (East)
56,Western Kentucky,CUSA (East)
57,UAB,CUSA (West)
58,North Texas,CUSA (West)
59,Louisiana Tech,CUSA (West)
60,Southern Miss,CUSA (West)
61,UTSA,CUSA (West)
62,Rice,CUSA (West)
63,UTEP,CUSA (West)
64,Liberty,Ind
65,Massachusetts,Ind
66,New Mexico State,Ind
67,Notre Dame,Ind
68,Army,Ind
69,BYU,Ind
70,Buffalo,MAC (East)
71,Ohio,MAC (East)
72,Miami (OH),MAC (East)
73,Akron,MAC (East)
74,Bowling Green,MAC (East)
75,Kent State,MAC (East)
76,Northern Illinois,MAC (West)
77,Eastern Michigan,MAC (West)
78,Toledo,MAC (West)
79,Western Michigan,MAC (West)
80,Ball State,MAC (West)
81,Central Michigan,MAC (West)
82,Utah State,MWC (Mountain)
83,Boise State,MWC (Mountain)
84,Wyoming,MWC (Mountain)
85,Air Force,MWC (Mountain)
86,Colorado State,MWC (Mountain)
87,New Mexico,MWC (Mountain)
88,Fresno State,MWC (West)
89,Nevada,MWC (West)
90,Hawaii,MWC (West)
91,San Diego State,MWC (West)
92,UNLV,MWC (West)
93,San Jose State,MWC (West)
94,Washington,Pac-12 (North)
95,Washington State,Pac-12 (North)
96,Stanford,Pac-12 (North)
97,Oregon,Pac-12 (North)
98,California,Pac-12 (North)
99,Oregon State,Pac-12 (North)
100,Utah,Pac-12 (South)
101,Arizona State,Pac-12 (South)
102,Arizona,Pac-12 (South)
103,USC,Pac-12 (South)
104,UCLA,Pac-12 (South)
105,Colorado,Pac-12 (South)
106,Georgia,SEC (East)
107,Florida,SEC (East)
108,Kentucky,SEC (East)
109,Missouri,SEC (East)
110,South Carolina,SEC (East)
111,Vanderbilt,SEC (East)
112,Tennessee,SEC (East)
113,Alabama,SEC (West)
114,LSU,SEC (West)
115,Texas A&M,SEC (West)
116,Mississippi State,SEC (West)
117,Auburn,SEC (West)
118,Ole Miss,SEC (West)
119,Arkansas,SEC (West)
120,Appalachian State,Sun Belt (East)
121,Troy,Sun Belt (East)
122,Georgia Southern,Sun Belt (East)
123,Coastal Carolina,Sun Belt (East)
124,Georgia State,Sun Belt (East)
125,Arkansas State,Sun Belt (West)
126,Louisiana,Sun Belt (West)
127,Louisiana-Monroe,Sun Belt (West)
128,South Alabama,Sun Belt (West)
129,Texas State,Sun Belt (West)
