0,Florida State,ACC (Atlantic)
1,Clemson,ACC (Atlantic)
2,NC State,ACC (Atlantic)
3,Wake Forest,ACC (Atlantic)
4,Maryland,ACC (Atlantic)
5,Boston College,ACC (Atlantic)
6,North Carolina,ACC (Coastal)
7,Miami,ACC (Coastal)
8,Georgia Tech,ACC (Coastal)
9,Virginia Tech,ACC (Coastal)
10,Duke,ACC (Coastal)
11,Virginia,ACC (Coastal)
12,Kansas State,Big 12
13,Oklahoma,Big 12
14,Texas,Big 12
15,Oklahoma State,Big 12
16,Baylor,Big 12
17,Texas Tech,Big 12
18,TCU,Big 12
19,West Virginia,Big 12
20,Iowa State,Big 12
21,Kansas,Big 12
22,Louisville,Big East
23,Cincinnati,Big East
24,Rutgers,Big East
25,Syracuse,Big East
26,Pitt,Big East
27,Connecticut,Big East
28,Temple,Big East
29,South Florida,Big East
30,Wisconsin,Big Ten (Leaders)
31,Ohio State,Big Ten (Leaders)
32,Penn State,Big Ten (Leaders)
33,Purdue,Big Ten (Leaders)
34,Indiana,Big Ten (Leaders)
35,Illinois,Big Ten (Leaders)
36,Nebraska,Big Ten (Legends)
37,Michigan,Big Ten (Legends)
38,Northwestern,Big Ten (Legends)
39,Michigan State,Big Ten (Legends)
40,Minnesota,Big Ten (Legends)
41,Iowa,Big Ten (Legends)
42,UCF,CUSA (East)
43,East Carolina,CUSA (East)
44,Marshall,CUSA (East)
45,Memphis,CUSA (East)
46,UAB,CUSA (East)
47,Southern Miss,CUSA (East)
48,Tulsa,CUSA (West)
49,SMU,CUSA (West)
50,Rice,CUSA (West)
51,Houston,CUSA (West)
52,UTEP,CUSA (West)
53,Tulane,CUSA (West)
54,Notre Dame,Ind
55,BYU,Ind
56,Navy,Ind
57,Army,Ind
58,Kent State,MAC (East)
59,Bowling Green,MAC (East)
60,Ohio,MAC (East)
61,Buffalo,MAC (East)
62,Miami (OH),MAC (East)
63,Massachusetts,MAC (East)
64,Akron,MAC (East)
65,Northern Illinois,MAC (West)
66,Ball State,MAC (West)
67,Toledo,MAC (West)
68,Central Michigan,MAC (West)
69,Western Michigan,MAC (West)
70,Eastern Michigan,MAC (West)
71,Boise State,MWC
72,Fresno State,MWC
73,San Diego State,MWC
74,Air Force,MWC
75,Nevada,MWC
76,Colorado State,MWC
77,Wyoming,MWC
78,UNLV,MWC
79,New Mexico,MWC
80,Hawaii,MWC
81,Stanford,Pac-12 (North)
82,Oregon,Pac-12 (North)
83,Oregon State,Pac-12 (North)
84,Washington,Pac-12 (North)
85,California,Pac-12 (North)
86,Washington State,Pac-12 (North)
87,UCLA,Pac-12 (South)
88,Arizona State,Pac-12 (South)
89,USC,Pac-12 (South)
90,Arizona,Pac-12 (South)
91,Utah,Pac-12 (South)
92,Colorado,Pac-12 (South)
93,Georgia,SEC (East)
94,Florida,SEC (East)
95,South Carolina,SEC (East)
96,Vanderbilt,SEC (East)
97,Missouri,SEC (East)
98,Tennessee,SEC (East)
99,Kentucky,SEC (East)
100,Alabama,SEC (West)
101,Texas A&M,SEC (West)
102,LSU,SEC (West)
103,Mississippi State,SEC (West)
104,Ole Miss,SEC (West)
105,Arkansas,SEC (West)
106,Auburn,SEC (West)
107,Arkansas State,Sun Belt
108,Western Kentucky,Sun Belt
109,Louisiana,Sun Belt
110,Middle Tennessee,Sun Belt
111,Louisiana-Monroe,Sun Belt
112,Troy,Sun Belt
113,North Texas,Sun Belt
114,Florida Atlantic,Sun Belt
115,Florida Int'l,Sun Belt
116,South Alabama,Sun Belt
117,Utah State,WAC
118,San Jose State,WAC
119,Louisiana Tech,WAC
120,UTSA,WAC
121,Texas State,WAC
122,Idaho,WAC
123,New Mexico State,WAC
