0,Florida State,ACC (Atlantic)
1,Clemson,ACC (Atlantic)
2,Boston College,ACC (Atlantic)
3,Syracuse,ACC (Atlantic)
4,Maryland,ACC (Atlantic)
5,Wake Forest,ACC (Atlantic)
6,NC State,ACC (Atlantic)
7,Duke,ACC (Coastal)
8,Miami,ACC (Coastal)
9,Virginia Tech,ACC (Coastal)
10,Georgia Tech,ACC (Coastal)
11,North Carolina,ACC (Coastal)
12,Pitt,ACC (Coastal)
13,Virginia,ACC (Coastal)
14,UCF,American
15,Louisville,American
16,Cincinnati,American
17,Houston,American
18,SMU,American
19,Rutgers,American
20,Connecticut,American
21,South Florida,American
22,Memphis,American
23,Temple,American
24,Baylor,Big 12
25,Oklahoma,Big 12
26,Oklahoma State,Big 12
27,Texas,Big 12
28,Kansas State,Big 12
29,Texas Tech,Big 12
30,TCU,Big 12
31,West Virginia,Big 12
32,Iowa State,Big 12
33,Kansas,Big 12
34,Ohio State,Big Ten (Leaders)
35,Wisconsin,Big Ten (Leaders)
36,Penn State,Big Ten (Leaders)
37,Indiana,Big Ten (Leaders)
38,Illinois,Big Ten (Leaders)
39,Purdue,Big Ten (Leaders)
40,Michigan State,Big Ten (Legends)
41,Nebraska,Big Ten (Legends)
42,Iowa,Big Ten (Legends)
43,Minnesota,Big Ten (Legends)
44,Michigan,Big Ten (Legends)
45,Northwestern,Big Ten (Legends)
46,Marshall,CUSA (East)
47,East Carolina,CUSA (East)
48,Middle Tennessee,CUSA (East)
49,Florida Atlantic,CUSA (East)
50,UAB,CUSA (East)
51,Florida Int'l,CUSA (East)
52,Southern Miss,CUSA (East)
53,Rice,CUSA (West)
54,North Texas,CUSA (West)
55,UTSA,CUSA (West)
56,Tulane,CUSA (West)
57,Louisiana Tech,CUSA (West)
58,Tulsa,CUSA (West)
59,UTEP,CUSA (West)
60,Navy,Ind
61,Notre Dame,Ind
62,BYU,Ind
63,Army,Ind
64,New Mexico State,Ind
65,Idaho,Ind
66,Bowling Green,MAC (East)
67,Buffalo,MAC (East)
68,Ohio,MAC (East)
69,Akron,MAC (East)
70,Kent State,MAC (East)
71,Massachusetts,MAC (East)
72,Miami (OH),MAC (East)
73,Northern Illinois,MAC (West)
74,Ball State,MAC (West)
75,Toledo,MAC (West)
76,Central Michigan,MAC (West)
77,Eastern Michigan,MAC (West)
78,Western Michigan,MAC (West)
79,Utah State,MWC (Mountain)
80,Boise State,MWC (Mountain)
81,Colorado State,MWC (Mountain)
82,Wyoming,MWC (Mountain)
83,New Mexico,MWC (Mountain)
84,Air Force,MWC (Mountain)
85,Fresno State,MWC (West)
86,San Diego State,MWC (West)
87,UNLV,MWC (West)
88,San Jose State,MWC (West)
89,Nevada,MWC (West)
90,Hawaii,MWC (West)
91,Stanford,Pac-12 (North)
92,Oregon,Pac-12 (North)
93,Washington,Pac-12 (North)
94,Oregon State,Pac-12 (North)
95,Washington State,Pac-12 (North)
96,California,Pac-12 (North)
97,Arizona State,Pac-12 (South)
98,UCLA,Pac-12 (South)
99,USC,Pac-12 (South)
100,Arizona,Pac-12 (South)
101,Utah,Pac-12 (South)
102,Colorado,Pac-12 (South)
103,Missouri,SEC (East)
104,South Carolina,SEC (East)
105,Georgia,SEC (East)
106,Vanderbilt,SEC (East)
107,Florida,SEC (East)
108,Tennessee,SEC (East)
109,Kentucky,SEC (East)
110,Auburn,SEC (West)
111,Alabama,SEC (West)
112,LSU,SEC (West)
113,Texas A&M,SEC (West)
114,Ole Miss,SEC (West)
115,Mississippi State,SEC (West)
116,Arkansas,SEC (West)
117,Louisiana,Sun Belt
118,Arkansas State,Sun Belt
119,Western Kentucky,Sun Belt
120,Louisiana-Monroe,Sun Belt
121,South Alabama,Sun Belt
122,Troy,Sun Belt
123,Texas State,Sun Belt
124,Georgia State,Sun Belt
