0,North Carolina,ACC
1,Clemson,ACC
2,Maryland,ACC
3,NC State,ACC
4,Duke,ACC
5,Virginia,ACC
6,Wake Forest,ACC
7,Oklahoma,Big 8
8,Nebraska,Big 8
9,Iowa State,Big 8
10,Colorado,Big 8
11,Missouri,Big 8
12,Kansas,Big 8
13,Oklahoma State,Big 8
14,Kansas State,Big 8
15,Michigan,Big Ten
16,Ohio State,Big Ten
17,Michigan State,Big Ten
18,Indiana,Big Ten
19,Minnesota,Big Ten
20,Purdue,Big Ten
21,Iowa,Big Ten
22,Wisconsin,Big Ten
23,Illinois,Big Ten
24,Northwestern,Big Ten
25,Notre Dame,Ind
26,Penn State,Ind
27,Colgate,Ind
28,San Diego State,Ind
29,Tennessee State,Ind
30,Florida State,Ind
31,North Texas,Ind
32,Pitt,Ind
33,East Carolina,Ind
34,Rutgers,Ind
35,Army,Ind
36,Louisville,Ind
37,Boston College,Ind
38,Cincinnati,Ind
39,Georgia Tech,Ind
40,Memphis,Ind
41,Northwestern State,Ind
42,Syracuse,Ind
43,William & Mary,Ind
44,Southern Miss,Ind
45,Temple,Ind
46,Hawaii,Ind
47,Navy,Ind
48,West Virginia,Ind
49,South Carolina,Ind
50,Utah State,Ind
51,Villanova,Ind
52,Illinois State,Ind
53,Virginia Tech,Ind
54,Indiana State,Ind
55,Miami,Ind
56,Richmond,Ind
57,Tulane,Ind
58,Air Force,Ind
59,Holy Cross,Ind
60,Louisiana-Monroe,Ind
61,Yale,Ivy
62,Brown,Ivy
63,Dartmouth,Ivy
64,Pennsylvania,Ivy
65,Harvard,Ivy
66,Princeton,Ivy
67,Columbia,Ivy
68,Cornell,Ivy
69,Miami (OH),MAC
70,Central Michigan,MAC
71,Ball State,MAC
72,Eastern Michigan,MAC
73,Bowling Green,MAC
74,Kent State,MAC
75,Western Michigan,MAC
76,Northern Illinois,MAC
77,Toledo,MAC
78,Ohio,MAC
79,West Texas State,MVC
80,Wichita State,MVC
81,New Mexico State,MVC
82,Tulsa,MVC
83,Drake,MVC
84,Southern Illinois,MVC
85,Washington,Pac-8
86,Stanford,Pac-8
87,USC,Pac-8
88,UCLA,Pac-8
89,California,Pac-8
90,Washington State,Pac-8
91,Oregon,Pac-8
92,Oregon State,Pac-8
93,Fresno State,PCAA
94,Pacific,PCAA
95,San Jose State,PCAA
96,Long Beach State,PCAA
97,Cal State Fullerton,PCAA
98,Alabama,SEC
99,Kentucky,SEC
100,LSU,SEC
101,Auburn,SEC
102,Florida,SEC
103,Georgia,SEC
104,Mississippi State,SEC
105,Ole Miss,SEC
106,Tennessee,SEC
107,Vanderbilt,SEC
108,Virginia Military Institute,Southern
109,Chattanooga,Southern
110,The Citadel,Southern
111,Furman,Southern
112,Western Carolina,Southern
113,Appalachian State,Southern
114,Marshall,Southern
115,Louisiana Tech,Southland
116,Louisiana,Southland
117,Texas-Arlington,Southland
118,Arkansas State,Southland
119,McNeese State,Southland
120,Lamar,Southland
121,Grambling State,SWAC
122,Jackson State,SWAC
123,Texas Southern,SWAC
124,Mississippi Valley State,SWAC
125,Alcorn State,SWAC
126,Southern,SWAC
127,Prairie View A&M,SWAC
128,Texas,SWC
129,Arkansas,SWC
130,Texas A&M,SWC
131,Texas Tech,SWC
132,Houston,SWC
133,Baylor,SWC
134,SMU,SWC
135,TCU,SWC
136,Rice,SWC
137,BYU,WAC
138,Arizona State,WAC
139,Colorado State,WAC
140,Wyoming,WAC
141,Arizona,WAC
142,New Mexico,WAC
143,Utah,WAC
144,UTEP,WAC
