0,Florida State,ACC (Atlantic)
1,Boston College,ACC (Atlantic)
2,Clemson,ACC (Atlantic)
3,NC State,ACC (Atlantic)
4,Maryland,ACC (Atlantic)
5,Wake Forest,ACC (Atlantic)
6,Virginia Tech,ACC (Coastal)
7,Miami,ACC (Coastal)
8,Georgia Tech,ACC (Coastal)
9,North Carolina,ACC (Coastal)
10,Virginia,ACC (Coastal)
11,Duke,ACC (Coastal)
12,Colorado,Big 12 (North)
13,Nebraska,Big 12 (North)
14,Iowa State,Big 12 (North)
15,Missouri,Big 12 (North)
16,Kansas,Big 12 (North)
17,Kansas State,Big 12 (North)
18,Texas,Big 12 (South)
19,Texas Tech,Big 12 (South)
20,Oklahoma,Big 12 (South)
21,Texas A&M,Big 12 (South)
22,Baylor,Big 12 (South)
23,Oklahoma State,Big 12 (South)
24,West Virginia,Big East
25,Louisville,Big East
26,Rutgers,Big East
27,South Florida,Big East
28,Pitt,Big East
29,Connecticut,Big East
30,Cincinnati,Big East
31,Syracuse,Big East
32,Penn State,Big Ten
33,Ohio State,Big Ten
34,Wisconsin,Big Ten
35,Iowa,Big Ten
36,Michigan,Big Ten
37,Northwestern,Big Ten
38,Minnesota,Big Ten
39,Purdue,Big Ten
40,Michigan State,Big Ten
41,Indiana,Big Ten
42,Illinois,Big Ten
43,UCF,CUSA (East)
44,Memphis,CUSA (East)
45,Southern Miss,CUSA (East)
46,East Carolina,CUSA (East)
47,UAB,CUSA (East)
48,Marshall,CUSA (East)
49,Tulsa,CUSA (West)
50,UTEP,CUSA (West)
51,Houston,CUSA (West)
52,SMU,CUSA (West)
53,Tulane,CUSA (West)
54,Rice,CUSA (West)
55,Notre Dame,Ind
56,Navy,Ind
57,Army,Ind
58,Temple,Ind
59,Akron,MAC (East)
60,Miami (OH),MAC (East)
61,Bowling Green,MAC (East)
62,Ohio,MAC (East)
63,Buffalo,MAC (East)
64,Kent State,MAC (East)
65,Toledo,MAC (West)
66,Northern Illinois,MAC (West)
67,Western Michigan,MAC (West)
68,Central Michigan,MAC (West)
69,Ball State,MAC (West)
70,Eastern Michigan,MAC (West)
71,TCU,MWC
72,BYU,MWC
73,Colorado State,MWC
74,Utah,MWC
75,New Mexico,MWC
76,San Diego State,MWC
77,Air Force,MWC
78,Wyoming,MWC
79,UNLV,MWC
80,USC,Pac-10
81,Oregon,Pac-10
82,UCLA,Pac-10
83,California,Pac-10
84,Arizona State,Pac-10
85,Stanford,Pac-10
86,Oregon State,Pac-10
87,Arizona,Pac-10
88,Washington State,Pac-10
89,Washington,Pac-10
90,Georgia,SEC (East)
91,Florida,SEC (East)
92,South Carolina,SEC (East)
93,Tennessee,SEC (East)
94,Vanderbilt,SEC (East)
95,Kentucky,SEC (East)
96,LSU,SEC (West)
97,Auburn,SEC (West)
98,Alabama,SEC (West)
99,Arkansas,SEC (West)
100,Mississippi State,SEC (West)
101,Ole Miss,SEC (West)
102,Louisiana,Sun Belt
103,Arkansas State,Sun Belt
104,Louisiana-Monroe,Sun Belt
105,Florida Int'l,Sun Belt
106,Middle Tennessee,Sun Belt
107,Troy,Sun Belt
108,Florida Atlantic,Sun Belt
109,North Texas,Sun Belt
110,Nevada,WAC
111,Boise State,WAC
112,Louisiana Tech,WAC
113,Fresno State,WAC
114,Hawaii,WAC
115,San Jose State,WAC
116,Utah State,WAC
117,Idaho,WAC
118,New Mexico State,WAC
