0,Oregon State,AAWU
1,USC,AAWU
2,Washington,AAWU
3,UCLA,AAWU
4,Stanford,AAWU
5,Oregon,AAWU
6,Washington State,AAWU
7,California,AAWU
8,NC State,ACC
9,Duke,ACC
10,Maryland,ACC
11,North Carolina,ACC
12,Wake Forest,ACC
13,South Carolina,ACC
14,Clemson,ACC
15,Virginia,ACC
16,Nebraska,Big 8
17,Oklahoma,Big 8
18,Kansas,Big 8
19,Missouri,Big 8
20,Oklahoma State,Big 8
21,Kansas State,Big 8
22,Colorado,Big 8
23,Iowa State,Big 8
24,Michigan,Big Ten
25,Ohio State,Big Ten
26,Purdue,Big Ten
27,Illinois,Big Ten
28,Minnesota,Big Ten
29,Michigan State,Big Ten
30,Northwestern,Big Ten
31,Wisconsin,Big Ten
32,Iowa,Big Ten
33,Indiana,Big Ten
34,Notre Dame,Ind
35,Florida State,Ind
36,Colgate,Ind
37,Villanova,Ind
38,Georgia Tech,Ind
39,Boston College,Ind
40,Rutgers,Ind
41,Southern Miss,Ind
42,Syracuse,Ind
43,New Mexico State,Ind
44,Penn State,Ind
45,Memphis,Ind
46,Utah State,Ind
47,Buffalo,Ind
48,Holy Cross,Ind
49,Colorado State,Ind
50,Air Force,Ind
51,Miami,Ind
52,Xavier,Ind
53,Army,Ind
54,Idaho,Ind
55,Pitt,Ind
56,San Jose State,Ind
57,West Texas State,Ind
58,Navy,Ind
59,Dayton,Ind
60,Detroit Mercy,Ind
61,Houston,Ind
62,Boston University,Ind
63,Lehigh,Ind
64,Pacific,Ind
65,UTEP,Ind
66,Princeton,Ivy
67,Harvard,Ivy
68,Yale,Ivy
69,Dartmouth,Ivy
70,Brown,Ivy
71,Cornell,Ivy
72,Columbia,Ivy
73,Pennsylvania,Ivy
74,Bowling Green,MAC
75,Marshall,MAC
76,Miami (OH),MAC
77,Ohio,MAC
78,Western Michigan,MAC
79,Kent State,MAC
80,Toledo,MAC
81,Cincinnati,MVC
82,Tulsa,MVC
83,Wichita State,MVC
84,North Texas,MVC
85,Louisville,MVC
86,Alabama,SEC
87,Florida,SEC
88,Kentucky,SEC
89,LSU,SEC
90,Georgia,SEC
91,Auburn,SEC
92,Ole Miss,SEC
93,Mississippi State,SEC
94,Vanderbilt,SEC
95,Tennessee,SEC
96,Tulane,SEC
97,West Virginia,Southern
98,Virginia Tech,Southern
99,George Washington,Southern
100,The Citadel,Southern
101,William & Mary,Southern
102,Richmond,Southern
103,Davidson,Southern
104,Furman,Southern
105,Virginia Military Institute,Southern
106,Arkansas,SWC
107,Texas,SWC
108,Baylor,SWC
109,Texas Tech,SWC
110,Rice,SWC
111,TCU,SWC
112,Texas A&M,SWC
113,SMU,SWC
114,New Mexico,WAC
115,Utah,WAC
116,Arizona,WAC
117,Wyoming,WAC
118,Arizona State,WAC
119,BYU,WAC
