85,2,"Sep 6, 2008",BYU,28,Washington,27,1
86,2,"Sep 6, 2008",California,66,Washington State,3,1
87,2,"Sep 6, 2008",Clemson,45,Citadel,17,0
88,2,"Sep 6, 2008",Colorado,31,Eastern Washington,24,0
89,2,"Sep 6, 2008",Colorado State,23,Sacramento State,20,0
90,2,"Sep 6, 2008",Temple,9,Connecticut,12,0
91,2,"Sep 6, 2008",West Virginia,3,East Carolina,24,1
92,2,"Sep 6, 2008",Miami,3,Florida,26,1
93,2,"Sep 6, 2008",Florida Atlantic,49,UAB,34,0
94,2,"Sep 6, 2008",Florida State,69,Western Carolina,0,0
95,2,"Sep 6, 2008",Georgia,56,Central Michigan,17,0
96,2,"Sep 6, 2008",Georgia Tech,19,Boston College,16,1
97,2,"Sep 6, 2008",Hawaii,36,Weber State,17,0
98,2,"Sep 6, 2008",Idaho,42,Idaho State,27,0
99,2,"Sep 6, 2008",Illinois,47,Eastern Illinois,21,0
100,2,"Sep 6, 2008",Indiana,45,Murray State,3,0
101,2,"Sep 6, 2008",Iowa,42,Florida Int'l,0,0
102,2,"Sep 6, 2008",Iowa State,48,Kent State,28,0
103,2,"Sep 6, 2008",Kansas,29,Louisiana Tech,0,0
104,2,"Sep 6, 2008",Kansas State,69,Montana State,10,0
105,2,"Sep 6, 2008",Kentucky,38,Norfolk State,3,0
106,2,"Sep 6, 2008",Louisville,51,Tennessee Tech,10,0
107,2,"Sep 6, 2008",Miami (OH),6,Michigan,16,1
108,2,"Sep 6, 2008",Michigan State,42,Eastern Michigan,10,0
109,2,"Sep 6, 2008",Middle Tennessee,24,Maryland,14,0
110,2,"Sep 6, 2008",Minnesota,42,Bowling Green,17,1
111,2,"Sep 6, 2008",Mississippi State,34,Southeastern Louisiana,10,0
112,2,"Sep 6, 2008",Missouri,52,Southeast Missouri State,3,0
113,2,"Sep 6, 2008",Nebraska,35,San Jose State,12,0
114,2,"Sep 6, 2008",New Hampshire,28,Army,10,1
115,2,"Sep 6, 2008",NC State,34,William & Mary,24,0
116,2,"Sep 6, 2008",Northwestern,24,Duke,20,1
117,2,"Sep 6, 2008",Notre Dame,21,San Diego State,13,0
118,2,"Sep 6, 2008",Ohio State,26,Ohio,14,0
119,2,"Sep 6, 2008",Oklahoma,52,Cincinnati,26,0
120,2,"Sep 6, 2008",Oklahoma State,56,Houston,37,0
121,2,"Sep 6, 2008",Oregon,66,Utah State,24,0
122,2,"Sep 6, 2008",Penn State,45,Oregon State,14,0
123,2,"Sep 6, 2008",Pitt,27,Buffalo,16,0
124,2,"Sep 6, 2008",Purdue,42,Northern Colorado,10,0
