97,2,"Sep 6, 2014",California,55,Sacramento State,14,0
98,2,"Sep 6, 2014",Central Michigan,38,Purdue,17,1
99,2,"Sep 6, 2014",Clemson,73,South Carolina State,7,0
100,2,"Sep 6, 2014",Colorado,41,Massachusetts,38,0
101,2,"Sep 6, 2014",Connecticut,19,Stony Brook,16,0
102,2,"Sep 6, 2014",Duke,34,Troy,17,1
103,2,"Sep 6, 2014",Eastern Kentucky,17,Miami (OH),10,1
104,2,"Sep 6, 2014",Florida,65,Eastern Michigan,0,0
105,2,"Sep 6, 2014",Florida Int'l,34,Wagner,3,0
106,2,"Sep 6, 2014",Florida State,37,Citadel,12,0
107,2,"Sep 6, 2014",Savannah State,9,Georgia Southern,83,1
108,2,"Sep 6, 2014",Georgia Tech,38,Tulane,21,1
109,2,"Sep 6, 2014",Houston,47,Grambling State,0,0
110,2,"Sep 6, 2014",Illinois,42,Western Kentucky,34,0
111,2,"Sep 6, 2014",Iowa,17,Ball State,13,0
112,2,"Sep 6, 2014",Kansas,34,Southeast Missouri State,28,0
113,2,"Sep 6, 2014",Kansas State,32,Iowa State,28,1
114,2,"Sep 6, 2014",Ohio,3,Kentucky,20,1
115,2,"Sep 6, 2014",LSU,56,Sam Houston,0,0
116,2,"Sep 6, 2014",Louisiana Tech,48,Louisiana,20,1
117,2,"Sep 6, 2014",Louisiana-Monroe,38,Idaho,31,0
118,2,"Sep 6, 2014",Louisville,66,Murray State,21,0
119,2,"Sep 6, 2014",Rhode Island,7,Marshall,48,1
120,2,"Sep 6, 2014",Maryland,24,South Florida,17,1
121,2,"Sep 6, 2014",Florida A&M,7,Miami,41,1
122,2,"Sep 6, 2014",Minnesota,35,Middle Tennessee,24,0
123,2,"Sep 6, 2014",Ole Miss,41,Vanderbilt,3,0
124,2,"Sep 6, 2014",Mississippi State,47,UAB,34,0
125,2,"Sep 6, 2014",Missouri,49,Toledo,24,1
126,2,"Sep 6, 2014",Navy,31,Temple,24,1
127,2,"Sep 6, 2014",Nebraska,31,McNeese State,24,0
128,2,"Sep 6, 2014",UNLV,13,Northern Colorado,12,0
129,2,"Sep 6, 2014",New Mexico State,34,Georgia State,31,1
130,2,"Sep 6, 2014",North Carolina,31,San Diego State,27,0
131,2,"Sep 6, 2014",NC State,46,Old Dominion,34,0
132,2,"Sep 6, 2014",SMU,6,North Texas,43,1
133,2,"Sep 6, 2014",Northern Illinois,23,Northwestern,15,1
134,2,"Sep 6, 2014",Notre Dame,31,Michigan,0,0
135,2,"Sep 6, 2014",Tulsa,7,Oklahoma,52,0
136,2,"Sep 6, 2014",Oklahoma State,40,Missouri State,23,0
137,2,"Sep 6, 2014",Oregon,46,Michigan State,27,0
138,2,"Sep 6, 2014",Oregon State,38,Hawaii,30,1
139,2,"Sep 6, 2014",Akron,3,Penn State,21,1
140,2,"Sep 6, 2014",Rutgers,38,Howard,25,0
141,2,"Sep 6, 2014",South Alabama,23,Kent State,13,1
142,2,"Sep 6, 2014",South Carolina,33,East Carolina,23,0
143,2,"Sep 6, 2014",USC,13,Stanford,10,1
144,2,"Sep 6, 2014",Southern Miss,26,Alcorn State,20,0
145,2,"Sep 6, 2014",Tennessee,34,Arkansas State,19,0
146,2,"Sep 6, 2014",Texas A&M,73,Lamar,3,0
147,2,"Sep 6, 2014",Texas Tech,30,UTEP,26,1
148,2,"Sep 6, 2014",UCLA,42,Memphis,35,0
149,2,"Sep 6, 2014",Utah,59,Fresno State,27,0
150,2,"Sep 6, 2014",Utah State,40,Idaho State,20,0
151,2,"Sep 6, 2014",Virginia,45,Richmond,13,0
152,2,"Sep 6, 2014",Virginia Tech,35,Ohio State,21,1
153,2,"Sep 6, 2014",Gardner-Webb,7,Wake Forest,23,1
154,2,"Sep 6, 2014",Washington,59,Eastern Washington,52,0
155,2,"Sep 6, 2014",West Virginia,54,Towson,0,0
156,2,"Sep 6, 2014",Wisconsin,37,Western Illinois,3,0
157,2,"Sep 6, 2014",Wyoming,17,Air Force,13,0
158,3,"Sep 11, 2014",BYU,33,Houston,25,0
159,3,"Sep 11, 2014",Louisiana Tech,42,North Texas,21,1
160,3,"Sep 12, 2014",Baylor,63,Buffalo,21,1
161,3,"Sep 12, 2014",Cincinnati,58,Toledo,34,0
162,3,"Sep 13, 2014",Abilene Christian,38,Troy,35,1
163,3,"Sep 13, 2014",Air Force,48,Georgia State,38,1
164,3,"Sep 13, 2014",Alabama,52,Southern Miss,12,0
165,3,"Sep 13, 2014",UAB,41,Alabama A&M,14,0
166,3,"Sep 13, 2014",Arizona,35,Nevada,28,0
167,3,"Sep 13, 2014",Arizona State,38,Colorado,24,1
168,3,"Sep 13, 2014",Arkansas,49,Texas Tech,28,1
169,3,"Sep 13, 2014",Boise State,38,Connecticut,21,1
170,3,"Sep 13, 2014",Boston College,37,USC,31,0
171,3,"Sep 13, 2014",Bowling Green,45,Indiana,42,0
172,3,"Sep 13, 2014",Colorado State,49,California-Davis,21,0
